------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 23, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 5.72
Generation 24, Fitness: 4600.00, Best Genome: \w\w\w\w\w, Time Elapsed 6.09
------------------------- 
Mean Num Genes: 1 Mean Gene Length: 6 
 -------------------------
Generation 0, Fitness: 6250.00, Best Genome: \w\ws ., Time Elapsed 0.94
Generation 1, Fitness: 5992.00, Best Genome:  +.\w\w , Time Elapsed 1.05
Generation 2, Fitness: 5992.00, Best Genome:  +.\w\w , Time Elapsed 1.12
Generation 3, Fitness: 5023.00, Best Genome: \w.\w*\w, Time Elapsed 1.55
Generation 4, Fitness: 5023.00, Best Genome: \w.\w*\w, Time Elapsed 1.88
Generation 5, Fitness: 5023.00, Best Genome: \w.\w*\w, Time Elapsed 2.78
Generation 6, Fitness: 4902.00, Best Genome: ...\w\w , Time Elapsed 2.80
Generation 7, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 3.12
Generation 8, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 3.92
Generation 9, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 4.16
Generation 10, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 5.15
Generation 11, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 5.11
Generation 12, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 5.23
Generation 13, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 5.86
Generation 14, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 5.59
Generation 15, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 7.11
Generation 16, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 6.49
Generation 17, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 7.51
Generation 18, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 6.48
Generation 19, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 6.68
Generation 20, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 6.65
Generation 21, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 7.53
Generation 22, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 7.89
Generation 23, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 8.26
Generation 24, Fitness: 4244.00, Best Genome: \w \w*\w, Time Elapsed 7.03
------------------------- 
Mean Num Genes: 1 Mean Gene Length: 8 
 -------------------------
Generation 0, Fitness: 6375.00, Best Genome: .|A-Z\da-zA-ZTm \dA-Z, Time Elapsed 1.02
Generation 1, Fitness: 6375.00, Best Genome: .|A-Z\da-z( )Tm \dA-Z, Time Elapsed 0.95
Generation 2, Fitness: 6334.00, Best Genome: .\d\w.|\w6, Time Elapsed 1.05
Generation 3, Fitness: 5979.00, Best Genome: .\w.|\w6, Time Elapsed 1.26
Generation 4, Fitness: 5979.00, Best Genome: .\w.|\w , Time Elapsed 1.70
Generation 5, Fitness: 5976.00, Best Genome: ..\w.|\w6, Time Elapsed 2.09
Generation 6, Fitness: 5976.00, Best Genome: ..\w.|\w , Time Elapsed 2.42
Generation 7, Fitness: 4961.00, Best Genome: .\w..\w , Time Elapsed 2.97
Generation 8, Fitness: 4961.00, Best Genome: .\w..\w , Time Elapsed 3.31
Generation 9, Fitness: 4907.00, Best Genome: ....\w , Time Elapsed 3.84
Generation 10, Fitness: 4907.00, Best Genome: ....\w , Time Elapsed 4.12
Generation 11, Fitness: 4907.00, Best Genome: ....\w , Time Elapsed 4.43
Generation 12, Fitness: 4907.00, Best Genome: ....\w , Time Elapsed 4.66
Generation 13, Fitness: 4907.00, Best Genome: ....\w , Time Elapsed 5.02
Generation 14, Fitness: 4907.00, Best Genome: ....\w , Time Elapsed 4.96
Generation 15, Fitness: 4489.00, Best Genome: \w...\w+, Time Elapsed 5.58
Generation 16, Fitness: 4489.00, Best Genome: \w...\w+, Time Elapsed 6.53
Generation 17, Fitness: 4489.00, Best Genome: \w...\w+, Time Elapsed 6.16
Generation 18, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 5.76
Generation 19, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 5.97
Generation 20, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 5.92
Generation 21, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 6.00
Generation 22, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 7.15
Generation 23, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 6.71
Generation 24, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 6.65
Generation 25, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 6.23
Generation 26, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 6.52
Generation 27, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 6.67
Generation 28, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 6.57
Generation 29, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 8.33
Generation 30, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 7.29
Generation 31, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 8.14
Generation 32, Fitness: 4090.00, Best Genome: \w ..\w+, Time Elapsed 7.52
Generation 33, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 8.82
Generation 34, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 9.25
Generation 35, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 9.48
Generation 36, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 9.83
Generation 37, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 10.44
Generation 38, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 10.87
Generation 39, Fitness: 4085.00, Best Genome: \w .\w\w+, Time Elapsed 8.60
