------------------------- 
Mean Num Genes: 1 Mean Gene Length: 2 
 -------------------------
Generation 11, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 9.65
Generation 12, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 9.98
Generation 13, Fitness: 5461.00, Best Genome: \w\w\w\w, Time Elapsed 10.19
Generation 14, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 10.12
Generation 15, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 10.21
Generation 16, Fitness: 5422.00, Best Genome: \w\w\w.\w, Time Elapsed 10.72
Generation 17, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 12.35
Generation 18, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 10.17
Generation 19, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 10.29
Generation 20, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.10
Generation 21, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 10.72
Generation 22, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.23
Generation 23, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.30
Generation 24, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 10.64
Generation 25, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.20
Generation 26, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.10
Generation 27, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 10.74
Generation 28, Fitness: 5134.00, Best Genome: \w\w\w\w\w, Time Elapsed 11.40
------------------------- 
Mean Num Genes: 2 Mean Gene Length: 2 
 -------------------------
Generation 0, Fitness: 5861.00, Best Genome: ..e, Time Elapsed 3.56
Generation 1, Fitness: 5861.00, Best Genome: ..e, Time Elapsed 4.31
Generation 2, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 4.41
Generation 3, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 4.58
Generation 4, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 5.09
Generation 5, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 5.06
Generation 6, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 5.69
Generation 7, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 5.57
Generation 8, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 5.97
Generation 9, Fitness: 5751.00, Best Genome: \w..\w, Time Elapsed 6.63
